date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:56	94194/94194	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-18e03%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover8.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover8.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:56	94893/94893	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-190b4%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img9.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img9.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:57	81086/81086	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1528f%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img10.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img10.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:57	86478/86478	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-16a92%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover10.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover10.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:57	95430/95430	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1928d%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover9.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover9.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:57	63154/63154	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-109c9%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover11.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover11.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:57	64473/64473	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-10e85%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img12.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img12.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:58	70515/70515	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-12723%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover12.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover12.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:58	90652/90652	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-17c33%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img1.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img1.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:59	88305/88305	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-16ffd%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img11.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img11.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:59	90953/90953	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-173a5%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover1.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover1.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:59	109715/109715	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1c61c%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img2.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img2.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:54:59	92467/92467	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-18007%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img3.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img3.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:00	96190/96190	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-19815%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover2.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover2.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:00	98896/98896	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1961e%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover3.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover3.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:00	102058/102058	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1a76e%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img4.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img4.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:00	79963/79963	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-14f5a%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover4.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover4.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:01	95423/95423	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-18c76%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img5.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img5.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:01	82972/82972	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-15aad%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img6.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img6.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:01	30710/30710	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-7fca%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover6.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover6.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:01	91852/91852	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-173b4%22	https://templates.hibootstrap.com/xton/default/assets/img/blog/img1.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/blog/img1.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:01	83944/83944	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-15e40%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img-hover5.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img-hover5.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:02	68860/68860	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1197d%22	https://templates.hibootstrap.com/xton/default/assets/img/blog/img3.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/blog/img3.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:02	66510/66510	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-10aa3%22	https://templates.hibootstrap.com/xton/default/assets/img/blog/img2.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/blog/img2.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:03	110927/110927	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1c174%22	https://templates.hibootstrap.com/xton/default/assets/img/instagram/img2.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/instagram/img2.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:03	91630/91630	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-17942%22	https://templates.hibootstrap.com/xton/default/assets/img/instagram/img3.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/instagram/img3.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:03	81717/81717	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-14f3f%22	https://templates.hibootstrap.com/xton/default/assets/img/instagram/img1.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/instagram/img1.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:03	107924/107924	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1bd4c%22	https://templates.hibootstrap.com/xton/default/assets/img/instagram/img4.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/instagram/img4.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:03	76902/76902	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1365d%22	https://templates.hibootstrap.com/xton/default/assets/img/instagram/img10.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/instagram/img10.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:04	69112/69112	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1179e%22	https://templates.hibootstrap.com/xton/default/assets/img/instagram/img6.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/instagram/img6.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:04	78608/78608	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-143a2%22	https://templates.hibootstrap.com/xton/default/assets/img/instagram/img7.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/instagram/img7.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:04	68046/68046	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1132d%22	https://templates.hibootstrap.com/xton/default/assets/img/instagram/img8.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/instagram/img8.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:04	77359/77359	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1393f%22	https://templates.hibootstrap.com/xton/default/assets/img/instagram/img9.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/instagram/img9.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:04	64122/64122	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-102d5%22	https://templates.hibootstrap.com/xton/default/assets/img/instagram/img5.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/instagram/img5.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:05	2882/2882	---M--	200	added ('OK')	image/png	etag:%226639d774-f83%22	https://templates.hibootstrap.com/xton/default/assets/img/payment/visa.png	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/payment/visa.png	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:05	2718/2718	---M--	200	added ('OK')	image/png	etag:%226639d774-edb%22	https://templates.hibootstrap.com/xton/default/assets/img/payment/mastercard.png	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/payment/mastercard.png	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:07	76162/76162	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-1298a%22	https://templates.hibootstrap.com/xton/default/assets/img/offer-bg.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/offer-bg.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
14:55:08	56315/56315	---M--	200	added ('OK')	image/jpeg	etag:%226639d774-ea47%22	https://templates.hibootstrap.com/xton/default/assets/img/products/img14.jpg	C:/Users/lenovo/OneDrive/Desktop/lms%20ss/PrintDash/templates.hibootstrap.com/xton/default/assets/img/products/img14.jpg	(from https://templates.hibootstrap.com/xton/default/index-2.html)
